-2.00376,0.42132
-1.93356,0.41988
-1.86883,0.41862
-1.80522,0.41824
-1.73829,0.41591
-1.67138,0.41465
-1.60116,0.41249
-1.53754,0.41105
-1.47391,0.4096
-1.4015,0.40744
-1.34335,0.40547
-1.27313,0.40331
-1.21168,0.40009
-1.14693,0.39668
-1.08329,0.39417
-1.01962,0.38987
-0.95705,0.38539
-0.8934,0.38217
-0.83082,0.37662
-0.77813,0.37304
-0.72103,0.36732
-0.66283,0.36106
-0.60681,0.35445
-0.56286,0.34837
-0.51012,0.34086
-0.4625,0.33374
-0.41538,0.32495
-0.36828,0.31729
-0.32119,0.3102
-0.28103,0.30141
-0.24436,0.29262
-0.20941,0.28242
-0.17621,0.27306
-0.14824,0.26399
-0.12026,0.25436
-0.09576,0.24472
-0.07473,0.23339
-0.05544,0.2229
-0.04486,0.21214
-0.03602,0.20223
-0.02543,0.19089
-0.0166,0.18098
0.0027,0.16936
0.03043,0.17899
0.06512,0.18917
0.11028,0.19653
0.17638,0.20104
0.23555,0.20273
0.30341,0.20526
0.37129,0.20666
0.44089,0.20891
0.50181,0.21031
0.56968,0.21171
0.63234,0.21283
0.69849,0.21338
0.76638,0.21365
0.83427,0.21392
0.89344,0.21503
0.96482,0.2153
1.03619,0.21557
1.09713,0.21527
1.16121,0.21567
1.22864,0.21645
1.2961,0.21599
1.36244,0.2166
1.43208,0.2165
1.49953,0.21657
1.56478,0.21646
1.63497,0.21645
1.69638,0.21679
1.76821,0.21686
1.82908,0.21676
1.89158,0.21719
1.96123,0.21673
